"assigning_authority","qe","data_type","bucket","key","size","last_modified"
"1003861782","hixny","CCD","nyec-pdr-prod-hixny","1003861782/ccd/2026/Jul/21/16/hixny_1003861782_164f2cb8b845129dbefd5e4cfee92e083a1e8df61ad36ad5c36cc3712431eeab_2.16.840.1.113883.3.227.3245.1.1.57a68b48.xml","800692","2026-07-21 20:35:01"
"1003861782","hixny","CCD","nyec-pdr-prod-hixny","1003861782/ccd/2026/Jul/21/14/hixny_1003861782_a16a15f3cd5f4304c432d1700bf9433e1959175d37f5e4fd841859c9b639a016_2.16.840.1.113883.3.227.3245.1.1.f6888495.xml","365403","2026-07-21 18:42:08"
"1003861782","hixny","CCD","nyec-pdr-prod-hixny","1003861782/ccd/2026/Jul/21/14/hixny_1003861782_a16a15f3cd5f4304c432d1700bf9433e1959175d37f5e4fd841859c9b639a016_2.16.840.1.113883.3.227.3245.1.1.ec7c86d3.xml","330954","2026-07-21 18:29:10"
"1003861782","hixny","CCD","nyec-pdr-prod-hixny","1003861782/ccd/2026/Jul/21/14/hixny_1003861782_1ca782dc16134cd180db507ce8d0aaf0f52cb4d18a6b9a65bec171a69cd331ca_2.16.840.1.113883.3.227.3245.1.1.01d24715.xml","305414","2026-07-21 18:01:26"
"1003861782","hixny","CCD","nyec-pdr-prod-hixny","1003861782/ccd/2026/Jul/21/12/hixny_1003861782_cd5e2a64bdf697f262cdaa1f87dc09d94459aabcdf99d9ecded715a334fe3c85_2.16.840.1.113883.3.227.3245.1.1.e81c903c.xml","375510","2026-07-21 16:12:12"
"1003861782","hixny","CCD","nyec-pdr-prod-hixny","1003861782/ccd/2026/Jul/21/11/hixny_1003861782_fe3582bf75e8bb02d202b5f96a7424d1c211c8fcec1957ff4ab68af3cd21aafe_2.16.840.1.113883.3.227.3245.1.1.f1003934.xml","453571","2026-07-21 15:41:06"
"1003861782","hixny","CCD","nyec-pdr-prod-hixny","1003861782/ccd/2026/Jul/21/11/hixny_1003861782_32c03e290ba2e16e0d614e39873d7ea75dcfdaca5d5c3f6d5a2baf1bd6f0f561_2.16.840.1.113883.3.227.3245.1.1.ac45ce2d.xml","341223","2026-07-21 15:16:13"
"1003861782","hixny","CCD","nyec-pdr-prod-hixny","1003861782/ccd/2026/Jul/21/10/hixny_1003861782_dcb74e3cc7048de95108b34797cbb45e828f676af5483171a657a28a391d3850_2.16.840.1.113883.3.227.3245.1.1.23079a02.xml","232205","2026-07-21 14:55:30"
"1003861782","hixny","CCD","nyec-pdr-prod-hixny","1003861782/ccd/2026/Jul/21/10/hixny_1003861782_2488b6ad6554355dd275bdb67ae87d5011ffe7953a4d082b1a32dd51ee21048d_2.16.840.1.113883.3.227.3245.1.1.f13bb44e.xml","457864","2026-07-21 14:37:25"
"1003861782","hixny","CCD","nyec-pdr-prod-hixny","1003861782/ccd/2026/Jul/21/10/hixny_1003861782_3d1f9583ac14d43f9ca555ee32c404e3f0240b3b522159ace3d5dbd325723ef4_2.16.840.1.113883.3.227.3245.1.1.89b6aaae.xml","136896","2026-07-21 14:32:54"
"1013042084","hixny","CCD","nyec-pdr-prod-hixny","1013042084/ccd/2026/Jul/21/14/hixny_1013042084_7a5a82a9cd3e80cc7d41165d54d75950f88614af19e3252a38eb83fd89fda00a_2.16.840.1.113883.3.227.614.1.1.efefad76.xml","124734","2026-07-21 18:46:50"
"1013042084","hixny","CCD","nyec-pdr-prod-hixny","1013042084/ccd/2026/Jul/21/14/hixny_1013042084_19f06d355cfeef2b57ae2307bbdf49265c6892e9d6caae59550b557a5b09b754_2.16.840.1.113883.3.227.614.1.1.7d8cccc2.xml","160542","2026-07-21 18:13:45"
"1013042084","hixny","CCD","nyec-pdr-prod-hixny","1013042084/ccd/2026/Jul/21/13/hixny_1013042084_92288e744aaeb8fb72f34688dfc29b9723a6c8d64d882daea5aca56c9a926000_2.16.840.1.113883.3.227.614.1.1.9029961c.xml","897103","2026-07-21 17:59:16"
"1013042084","hixny","CCD","nyec-pdr-prod-hixny","1013042084/ccd/2026/Jul/21/13/hixny_1013042084_f24829d6c10b03e05f82247eadceb6c3d0d3c77a22772e3f7fb5a430564e0102_2.16.840.1.113883.3.227.614.1.1.72fa813f.xml","215111","2026-07-21 17:30:14"
"1013042084","hixny","CCD","nyec-pdr-prod-hixny","1013042084/ccd/2026/Jul/21/13/hixny_1013042084_89fc950342428e0f85374af89e2553ce857f4a674bbe1c97a221c5c2dcf8af01_2.16.840.1.113883.3.227.614.1.1.2f43d8b9.xml","275100","2026-07-21 17:14:46"
"1013042084","hixny","CCD","nyec-pdr-prod-hixny","1013042084/ccd/2026/Jul/21/10/hixny_1013042084_4b108c05e3fafcfbf0bee5a64366fff4bf7a32f69d3f20183f22c9fb254f647c_2.16.840.1.113883.3.227.614.1.1.45072ffb.xml","459225","2026-07-21 14:29:26"
